Country,Billionaires per 10M Residents,Per Capita Income,Number of Billionaires
United States,54.7,54600,1764
China,1.5,12880,213
Germany,12.5,45888,103
India,0.7,5855,90
Russia,6.2,24850,88
Mexico,1.2,17881,15
